Rank,Strategy,Return (%),Sharpe Ratio,Max DD (%),Win Rate (%),Trades,Calmar
1,RSI Mean Reversion,4.0,1.5956,-1.09,100.0,7,1.9017
2,Buy & Hold,12.52,1.408,-5.59,100.0,1,1.1288
3,LSTM Baseline,8.28,1.2496,-4.16,100.0,4,1.0188
4,MACD + RSI Rules,1.6,0.7855,-1.27,47.1,17,0.6615
5,SMA Crossover (5/20),3.02,0.7111,-3.64,35.7,14,0.4375
6,DQN Agent (ours),0.45,0.0781,-3.76,54.0,174,0.0841
